date,product,category,quantity,unit_price
2026-08-01,Wireless Mouse,Electronics,12,799
2026-08-02,USB-C Cable,Electronics,20,399
2026-08-03,Laptop Stand,Accessories,8,1299
2026-08-04,Keyboard,Electronics,15,999
2026-08-05,Webcam,Electronics,10,1499
2026-08-06,Wireless Mouse,Electronics,18,799
2026-08-07,USB-C Cable,Electronics,25,399
2026-08-08,Laptop Stand,Accessories,6,1299
2026-08-09,Keyboard,Electronics,10,999
2026-08-10,Webcam,Electronics,7,1499
2026-08-11,Wireless Mouse,Electronics,22,799
2026-08-12,USB-C Cable,Electronics,30,399
2026-08-13,Laptop Stand,Accessories,9,1299
2026-08-14,Keyboard,Electronics,17,999
2026-08-15,Webcam,Electronics,12,1499
